x	y
1	182
1	305
4	190
4	297
5	140
5	347
7	229
7	258
9	15
9	472
11	114
11	373
12	68
12	419
13	41
13	446
14	120
14	367
16	155
16	332
17	91
17	396
18	175
18	312
19	54
19	433
21	58
21	429
25	108
25	379
26	108
26	379
27	181
27	306
28	96
28	391
30	185
30	302
31	1
31	486
32	117
32	370
33	28
33	459
37	216
37	271
39	218
39	269
41	221
41	266
42	62
42	425
44	18
44	469
46	176
46	311
52	135
52	352
53	109
53	378
56	25
56	462
57	73
57	414
59	92
59	395
60	24
60	463
62	3
62	484
64	191
64	296
65	95
65	392
66	168
66	319
70	88
70	399
72	0
73	34
73	453
74	169
74	318
77	207
77	280
78	136
78	351
81	69
81	418
83	28
83	459
84	210
84	277
85	100
85	387
87	169
87	318
88	187
88	300
92	14
92	473
93	138
93	349
94	225
94	262
95	201
95	286
96	200
96	287
97	68
97	419
99	37
99	450
100	179
100	308
106	207
106	280
108	4
108	483
110	14
110	473
111	157
111	330
117	4
117	483
119	124
119	363
120	47
120	440
121	148
121	339
122	191
122	296
123	46
123	441
124	12
124	475
126	179
126	308
127	102
127	385
129	55
129	432
133	119
133	368
134	76
134	411
135	205
135	282
138	42
138	445
142	149
142	338
143	57
143	430
145	206
145	281
148	183
148	304
149	176
149	311
150	194
150	293
151	187
151	300
154	149
154	338
156	188
156	299
158	243
158	244
159	1
159	486
162	178
162	309
163	98
163	389
165	195
165	292
166	216
166	271
167	231
167	256
168	109
168	378
169	239
169	248
171	51
171	436
172	184
172	303
174	140
174	347
175	151
175	336
180	181
180	306
181	38
181	449
182	162
182	325
184	233
184	254
186	8
186	479
188	225
188	262
190	186
190	301
191	149
191	338
192	84
192	403
195	234
195	253
198	91
198	396
200	62
200	425
202	105
202	382
203	131
203	356
205	225
205	262
207	146
207	341
213	141
213	346
215	214
215	273
217	110
217	377
218	242
218	245
219	189
219	298
220	80
220	407
221	72
221	415
222	134
222	353
224	137
224	350
225	2
225	485
226	11
226	476
231	15
231	472
232	17
232	470
233	166
233	321
235	86
235	401
237	147
237	340
238	208
238	279
239	33
239	454
240	144
240	343
241	226
241	261
242	59
242	428
243	235
243	252
244	128
244	359
245	62
245	425
247	15
247	472
248	187
248	300
256	144
256	343
258	199
258	288
259	101
259	386
260	53
260	434
261	179
261	308
262	4
262	483
263	198
263	289
264	104
264	383
265	129
265	358
266	109
266	378
268	217
268	270
269	202
269	285
271	49
271	438
272	91
272	396
274	67
274	420
279	171
279	316
280	181
280	306
283	130
283	357
284	216
284	271
285	14
285	473
287	59
287	428
289	214
289	273
290	199
290	288
291	174
291	313
292	176
292	311
293	61
293	426
294	40
294	447
295	52
295	435
296	204
296	283
297	1
297	486
298	104
298	383
301	191
301	296
304	207
304	280
307	146
307	341
308	140
308	347
311	78
311	409
315	232
315	255
319	72
319	415
321	131
321	356
324	97
324	390
326	169
326	318
328	186
328	301
333	204
333	283
336	33
336	454
337	93
337	394
338	234
338	253
339	240
339	247
340	239
340	248
341	27
341	460
342	165
342	322
345	204
345	283
349	211
349	276
350	226
350	261
352	172
352	315
356	230
356	257
359	87
359	400
361	11
361	476
362	167
362	320
364	192
364	295
365	8
365	479
366	121
366	366
369	38
369	449
370	2
370	485
371	28
371	459
374	162
374	325
375	30
375	457
377	105
377	382
378	68
378	419
379	2
379	485
382	157
382	330
383	226
383	261
387	11
387	476
391	21
391	466
395	105
395	382
398	22
398	465
399	33
399	454
403	193
403	294
406	89
406	398
409	70
409	417
411	7
411	480
412	104
412	383
418	162
418	325
421	23
421	464
422	107
422	380
423	8
423	479
424	38
424	449
426	199
426	288
428	36
428	451
431	112
431	375
432	29
432	458
433	3
433	484
434	72
434	415
435	203
435	284
436	108
436	379
438	228
438	259
439	164
439	323
441	234
441	253
442	24
442	463
445	59
445	428
448	173
448	314
450	131
450	356
451	56
451	431
456	186
456	301
458	127
458	360
460	146
460	341
465	239
465	248
466	50
466	437
469	115
469	372
470	214
470	273
472	24
472	463
473	81
473	406
478	144
478	343
479	3
479	484
481	157
481	330
485	182
485	305
