x	y
1	28
1	69
2	20
2	77
4	16
4	81
9	18
9	79
11	12
11	85
12	21
12	76
14	44
14	53
16	9
16	88
17	33
17	64
18	29
18	68
19	33
19	64
20	44
20	53
24	45
24	52
26	40
26	57
27	42
27	55
28	21
28	76
29	16
29	81
34	11
34	86
35	10
35	87
36	17
36	80
40	8
40	89
41	36
41	61
47	22
47	75
48	13
48	84
51	43
51	54
52	43
52	54
53	30
53	67
54	47
54	50
57	21
57	76
58	47
58	50
61	33
61	64
63	44
63	53
64	16
64	81
65	30
65	67
66	24
66	73
67	39
67	58
69	8
69	89
70	14
70	83
73	41
73	56
75	1
75	96
76	30
76	67
77	11
77	86
78	17
78	80
80	17
80	80
81	6
81	91
82	47
82	50
83	11
83	86
85	8
85	89
86	19
86	78
91	43
91	54
92	26
92	71
94	34
94	63
95	28
95	69
96	20
96	77
